Ангуганак;Anguganak;Ангуганак;Папуа - Новая Гвинея;-3.550;142.217
;Prince Sultan Air Base;;Саудовская Аравия;24.062700;47.580536
;Akiak;;США;60.902889;-161.230583
Асахикава;Asahikawa;Асахикава;Япония;43.670833;142.447500
;Akhiok SPB;;США;56.938691;-154.182556
;Auckland International;Окленд;Новая Зеландия;-37.008056;174.791667
Закума;Zakouma;Закума;Чад;10.900;19.817
;King Salmon;;США;58.676493;-156.648691
;Colorado Plains Regional Airport;Akron;США;40.175633;-103.222028
;Anaktuvuk;;США;68.133597;-151.743342
;Gunung Batin;Астраксетра;Индонезия;-4.612;105.232
Акере;Akure;Акере;Нигерия;7.246739;5.301008
;Akrotiri Raf;Акротири;Кипр;34.590416;32.987861
Аксу;Aksu;Аксу;Китай;41.262500;80.291667
;Akulivik;;Канада;60.818611;-78.148611
;Aghajari;;Иран;30.744450;49.677183
Актюбинск;Aktyubinsk;Актюбинск;Казахстан;50.245833;57.206667
;Civil;;Мьянма;20.132708;92.872628
Алматы;Almaty;Алматы;Казахстан;43.352072;77.040508
Олбани международный;Albany International;Олбани;США;42.749111;-73.801972
;Alicante El Altet;Аликанте;Испания;38.282169;-0.558156
Алерта;Alerta;Алерта;Перу;-11.683;-69.333
;Alpine;;США;30.384222;-103.683583
Альта;Alta;Алта;Норвегия;69.976111;23.371667
;Houari Boumediene;;Алжир;36.694444;3.216944
Олбани;Albany;Олбани;Австралия;-34.943333;117.808889
;International;;США;27.740889;-98.026944
Кортдум;Kortdoorn;Александер-Бей;ЮАР;-28.575001;16.533332
Асела;Asela;Асела;Эфиопия;7.967;39.117
Албенга;Albenga;Албенга;Италия;44.050608;8.127428
;Municipal;Аламогордо;США;32.839944;-105.990583
Альтон;Alton;;США;38.889917;-90.045989
Ватерло;Waterloo;Ватерло;США;42.557081;-92.400344
;Nejrab;Алеппо;Сирия;36.180675;37.224358
;Federal;;Бразилия;-29.800274;-55.763054
Александра;Alexandra;Александра;Новая Зеландия;-45.211667;169.373333
;Municipal;Аламоса;США;37.434917;-105.866556
;Alenquer;;Бразилия;-1.917499;-54.721111
Алула;Alula;Алула;Сомали;11.950;50.733
;Andorra La Vella H/P;Андорра-ла-Велла;Андорра;42.506;1.522
;Walla Walla;;США;46.094778;-118.289000
;Thomas C Russell Fld;;США;32.914744;-85.962956
;El Nohza;Александрия;Египет;31.183903;29.948889
;Alitak SPB;;США;56.899487;-154.247847
;Rick Husband Amarillo International;;США;35.219361;-101.705917
Амбилобе;Ambilobe;Амбилобе;Мадагаскар;-13.188431;48.987978
;Am Timan;;Чад;11.034;20.274
Ахмедабад;Ahmedabad;Ахмедабад;Индия;23.077242;72.634650
Альто-Молокуэ;Alto Molocue;Альто-Молокуэ;Мозамбик;-15.633;37.700
Ама;Ama;Ама;Папуа - Новая Гвинея;-4.100;141.667
;Amboin;;Папуа - Новая Гвинея;-4.600;143.500
Арба-Минч;Arba Mintch;Арба-Минч;Эфиопия;6.039389;37.590453
;Selaparang;;Индонезия;-8.560708;116.094656
Альменара;Almenara;;Бразилия;-16.165963;-40.684436
;Animas Airpark;Дуранго;США;37.203178;-107.869195
;Puerto Armuellas;;Панама;8.268056;-82.864944
;Queen Alia Intl;Амман;Иордания;31.722556;35.993214
;Gratiot Community;;США;43.322139;-84.687944
Мао;Mao;Мао;Чад;14.145556;15.314444
Ампанихи;Ampanihy;Ампанихи;Мадагаскар;-24.699722;44.734167
;Pattimura;Амбон;Индонезия;-3.710264;128.089136
Арно;Arno;Арно;Маршалловы острова;7.083;171.683
;Amsterdam-Schiphol;Амстердам;Нидерланды;52.308613;4.763889
Амата;Amata;;Австралия;-26.102778;131.206667
Аманаб;Amanab;Аманаб;Папуа - Новая Гвинея;-3.583;141.200
Амдерма;Amderma;Амдерма;Россия;69.763333;61.556389
Амес;Ames;;США;41.992056;-93.621833
;Ammaroo;;Австралия;-21.739167;135.243056
Амбатомаинти;Ambatomainty;Амбатомаинти;Мадагаскар;-17.683;45.617
Ардмор;Ardmore;Ардмор;Новая Зеландия;-37.029722;174.973333
;Orange County Steel Salvage Heliport;Анахайм;США;33.812500;-117.918889
;Anniston Metropolitan;;США;33.588167;-85.858111
;Ted Stevens Anchorage International Airport;Анкораж;США;61.174361;-149.996361
Андерсон;Anderson;;США;34.494583;-82.709389
;Marce;Анжер;Франция;47.560211;-0.312128
;Cerro Moreno;Антофагаста;Чили;-23.444478;-70.445100
;Brie-Champniers;Ангулем;Франция;45.729475;0.219153
;Anuha Island Resort;;Соломоновы острова;-8.983;160.500
;Aniak;;США;61.581597;-159.543043
Занага;Zanaga;Занага;Конго;-2.850;13.817
;Etimesgut;Анкара;Турция;39.949831;32.688622
Андуло;Andulo;Андуло;Ангола;-11.471389;16.710833
Антсирабато;Antsirabato;Анталаха;Мадагаскар;-14.999411;50.320233
;Annette Island;;США;55.042437;-131.572232
;Angoche;;Мозамбик;-16.181944;39.944722
Ли;Lee;Аннаполис;США;38.942878;-76.568399
;Tri-State Steuben Cty;Ангола;США;41.639698;-85.083493
;Deurne;Антверпен;Бельгия;51.189444;4.460278
Андауайлас;Andahuaylas;Андауайлас;Перу;-13.706408;-73.350378
;St Anton;;Австрия;0;0
;V. C. Bird Intl;;Антигуа и Барбуда;17.136667;-61.792778
;Anvik;;США;62.647328;-160.190067
;Ainsworth;;США;42.579228;-99.992967
Анденес;Andenes;Анденес;Норвегия;69.292500;16.144167
;Anthony;;США;37.158522;-98.079647
;Angus Downs;;Австралия;-25.034;132.276
Ароа;Aroa;Ароа;Папуа - Новая Гвинея;-9.017;146.800
Аннаберг;Annanberg;Аннаберг;Папуа - Новая Гвинея;-4.917;144.650
;Altenburg Nobitz;Альтенбург;Германия;50.981817;12.506361
Абу-Дейя;Abou Deia;Абу-Дейя;Чад;11.467;19.283
;Anadolu University;Эскишехир;Турция;39.811666666667;30.528611111111
Аншан;Anshan;Аньшань;Китай;41.105278;122.853889
;Allen County;Лима;США;40.707478;-84.027078
;Falconara;Анкона;Италия;43.616342;13.362319
Аомори;Aomori;Аомори;Япония;40.734722;140.690833
Карпатос;Karpathos;Карпатос;Греция;35.421408;27.146008
;Paso De Los Libres;;Аргентина;-29.689425;-57.152078
Арона;Arona;Арона;Соломоновы острова;-6.300;146.017
Мартинсбург;Martinsburg;;США;40.296361;-78.320028
Алор-Сетар;Alor Setar;Алор-Сетар;Малайзия;6.189667;100.398183
;Amook;;США;57.466666666667;-153.83333333333
;Corrado Gex;Аоста;Италия;45.738456;7.368719
Аттопью;Attopeu;Аттопью;Лаос;14.800;106.833
;Arapahoe Co;Денвер;США;39.570111;-104.849306
Аполо;Apolo;Аполо;Боливия;-14.733;-68.417
;Napa County;Напа;США;38.213194;-122.280694
Сан-Хуан-Апосенто;San Juan Aposento;Сан-Хуан-Апосенто;Перу;-15.350;-75.167
Неаполь;Naples;Неаполь;США;26.152287;-81.775793
;Phillips AAF;;США;39.466219;-76.168808
;Camp A P Hill;;США;38.068833;-77.318333
Апиай;Apiay;Апиай;Колумбия;4.076069;-73.562731
;Apataki;;Французская Полинезия;-15.573611;-146.415278
Нампула;Nampula;Нампула;Мозамбик;-15.105611;39.281800
;Alpena County Regional;;США;45.078083;-83.560306
Апартадо;Apartado;Апартадо;Колумбия;7.811817;-76.716325
Асапа;Asapa;Асапа;Папуа - Новая Гвинея;-8.967;148.100
;Arapiraca;;Бразилия;-9.775358;-36.629200
Эйприл-Ривер;April River;Эйприл-Ривер;Папуа - Новая Гвинея;-4.700;142.533
Анаполис;Anapolis;;Бразилия;-16.362336;-48.927053
;Marion County;Джаспер;США;35.060678;-85.585317
;Apucarana;;Бразилия;-23.609511;-51.384486
Эппл Вэлли;Apple Valley;Эппл Вэлли;США;34.575333;-117.186194
;Faleolo;;Самоа;-13.829667;-171.997167
;Arapongas;;Бразилия;-23.352856;-51.491656
;Alto Parnaiba;;Бразилия;-9.083605;-45.950554
Запала;Zapala;Запала;Аргентина;-38.975500;-70.113581
;Araraquara;;Бразилия;-21.812000;-48.133028
;Quiche Airport;;Гватемала;15.012222;-91.150556
Аньцин;Anqing;Аньцин;Китай;30.582222;117.050278
Кайсумах;Qaisumah;Кайсумах;Саудовская Аравия;28.335192;46.125069
;King Hussein Intl;Акаба;Иордания;29.611619;35.018067
;Ariquemes;;Бразилия;-10.177778;-62.826111
;Rodriguez Ballon;Арекуипа;Перу;-16.341072;-71.583083
Сакани;Saqani;Сакани;Фиджи;-16.450;179.733
;Alyeska;;США;60.966096;-149.125789
;Acadiana Regional;;США;30.037758;-91.883896
;Municipal;;США;42.222984;-83.745607
;Arctic Village;;США;68.114669;-145.579415
Алор-Айленд;Alor Island;Алор-Айленд;Индонезия;-8.132336;124.597014
;Arecibo;;Пуэрто Рико;18.451111;-66.675556
;Acaricuara;;Колумбия;0.567;-72.400
;Walnut Ridge;;США;36.124667;-90.925111
Талаги;Talagi;Архангельск;Россия;64.600280;40.716667
;Chacalluta;Арика;Чили;-18.348531;-70.338742
Арсо;Arso;Арсо;Индонезия;-2.917;140.783
Аруша;Arusha;Аруша;Танзания;-3.367794;36.633333
Арли;Arly;Арли;Буркина-Фасо;11.597;1.483
Армидаль;Armidale;Армидаль;Австралия;-30.528056;151.617222
;Arlanda;Стокгольм;Швеция;59.651944;17.918611
Арболетас;Arboletas;Арболетас;Колумбия;8.833;-76.433
Араджип;Aragip;Араджип;Папуа - Новая Гвинея;-9.867;149.483
Араукита;Arauquita;Араукита;Колумбия;7.021058;-71.388864
Альто-Рио-Сенгерр;Alto Rio Senguerr;Альто-Рио-Сенгерр;Аргентина;-45.017;-70.800
;Aragarcas;;Бразилия;-15.896733;-52.095564
;Watertown;;США;43.991917;-76.021750
;Aracatuba;;Бразилия;-21.141342;-50.424722
;Noble F. Lee;;США;45.927917;-89.730944
Арад;Arad;Арад;Румыния;46.176550;21.262022
;Asbury Park;;США;40.219444444444;-74.09
;Ararat;;Австралия;-37.309444;142.988611
;Assab International;Ассаб;Эритрея;13.071783;42.645006
;Ashgabat;Ашхабад;Туркменистан;37.986814;58.360967
Аскеншн;Ascension;Аскеншн;Боливия;-15.717;-63.100
;Andros Town;;Багамские острова;24.698283;-77.795611
Аспен;Aspen;Аспен;США;39.223167;-106.868861
Астрахань;Astrakhan;Астрахань;Россия;46.283333;48.006278
Ашбертон;Ashburton;Ашбертон;Новая Зеландия;-43.903333;171.796667
;Boire Field;;США;42.781750;-71.514778
;Wideawake Field;;Остров святой Елены;-7.969597;-14.393664
Амами-О-Сима;Amami O Shima;Амами-О-Сима;Япония;28.430633;129.712542
;Yamoussoukro;;"Кот д&#039;Ивуар";6.903167;-5.365581
;Harrison County;Маршалл;США;32.520500;-94.307778
;Yohannes IV;;Эритрея;15.291853;38.910667
;Talladega;Талладега;США;33.569471;-86.051230
Асоса;Asosa;Асоса;Эфиопия;10.018550;34.586253
Элис Спрингз;Alice Springs;Элис Спрингз;Австралия;-23.806667;133.902222
Остин;Austin;Остин;США;39.467981;-117.195370
;Erkilet International Airport;Кайсери;Турция;38.770386;35.495428
;Astoria;;США;46.157972;-123.878694
;Silvio Pettirossi;Асунсьон;Парагвай;-25.239850;-57.519133
Амбосели;Amboseli;Амбосели;Кения;-2.633;37.250
Асуан;Aswan;Асуан;Египет;23.964356;32.819975
Эшленд;Ashland;Эшленд;США;46.548528;-90.918972
;Ashley;;США;46.023863;-99.352614
Асирим;Asirim;Асирим;Папуа - Новая Гвинея;-5.867;150.367
Анта;Anta;Анта;Перу;-9.347444;-77.598392
Атбара;Atbara;Атбара;Судан;17.709722;34.056944
Атоифи;Atoifi;Атоифи;Соломоновы острова;-8.873333;161.011389
;Antlers;;США;34.192601;-95.649859
;Chachoan;Амбато;Эквадор;-1.212067;-78.574636
;Attock;;Пакистан;33.900;72.250
;Eleftherios Venizelos;Афины;Греция;37.936358;23.944467
Артигас;Artigas;Артигас;Уругвай;-30.400706;-56.507869
Анцирабе;Antsirabe;Анцирабе;Мадагаскар;-19.836944;47.065278
;Atqasuk;;США;70.467276;-157.435736
;Hartsfield-jackson Atlanta International;;США;33.636720;-84.428066
Альтамира;Altamira;;Бразилия;-3.253906;-52.253978
Наматанай;Namatanai;Наматанай;Папуа - Новая Гвинея;-3.667;152.433
;Ohio University;Афины;Греция;39.211893;-82.229255
;Airstrip;Айтейп;Папуа - Новая Гвинея;-3.133;142.333
;Raja Sansi;Амритсар;Индия;31.709594;74.797264
;Mouakchott;Атар;Мавритания;20.506828;-13.043194
;Artesia;;США;32.852528;-104.467686
;Atmautluak;;США;60.866746;-162.273139
;Casco Cove;;США;52.832542;173.175554
Ати;Ati;Ати;Чад;13.238889;18.313333
;Outagamie County;Эпплтон;США;44.258083;-88.519083
Атбасар;Atbasar;Атбасар;Казахстан;51.851667;68.363333
;Watertown;;США;44.913972;-97.154722
Асьют;Assiut;Асьют;Египет;27.046508;31.011983
;Reina Beatrix;;Аруба;12.501389;-70.015221
;Itauba;;Бразилия;-7.1;-41.983333333333
Араука;Arauca;Араука;Колумбия;7.068889;-70.736944
;Augustus Downs;;Австралия;-18.507500;139.883611
;Abu Rudeis;;Египет;28.899017;33.202461
;Auxerre Branches;;Франция;47.846328;3.496578
;Augusta;;США;44.320650;-69.797318
Абу-Даби;Abu Dhabi International;Абу-Даби;ОАЭ;24.432972;54.651138
;Aua Island;;Папуа - Новая Гвинея;-1.450;143.067
